일자,수량_공매도잔고수량,수량_상장주식수,수량_비중,금액_공매도잔고금액,금액_시가총액,금액_비중
"2022/07/06","285962.0","3.2404451E7","0.88","1.1019761E7","1.576203143E9","0.70"
"2022/07/05","286134.0","3.2404451E7","0.88","1.1258321E7","1.611388079E9","0.70"
"2022/07/04","289654.0","3.2406114E7","0.89","1.107317E7","1.583918342E9","0.70"
"2022/07/01","288155.0","3.2406114E7","0.89","1.1077482E7","1.585084727E9","0.70"
"2022/06/30","287200.0","3.2406114E7","0.89","1.1158243E7","1.603805245E9","0.70"
"2022/06/29","288006.0","3.2406114E7","0.89","1.1367904E7","1.635672964E9","0.69"
"2022/06/28","288985.0","3.2406114E7","0.89","1.150766E7","1.668359046E9","0.69"
"2022/06/27","287486.0","3.2406114E7","0.89","1.1334528E7","1.654305716E9","0.69"
"2022/06/24","291311.0","3.2406114E7","0.90","1.1301178E7","1.632120666E9","0.69"
"2022/06/23","296436.0","3.2406114E7","0.91","1.1275992E7","1.598572274E9","0.71"
"2022/06/22","294799.0","3.2406114E7","0.91","1.1418671E7","1.613760285E9","0.71"
"2022/06/21","295193.0","3.2406093E7","0.91","1.1717466E7","1.657423542E9","0.71"
"2022/06/20","296023.0","3.2405965E7","0.91","1.1573884E7","1.64629015E9","0.70"
"2022/06/17","291621.0","3.2405477E7","0.90","1.1682122E7","1.677808527E9","0.70"
"2022/06/16","289222.0","3.2405477E7","0.89","1.1109886E7","1.68497112E9","0.66"
"2022/06/15","288730.0","3.2405477E7","0.89","1.108446E7","1.68239705E9","0.66"
"2022/06/14","286502.0","3.2405477E7","0.88","1.1352095E7","1.712327467E9","0.66"
"2022/06/13","281998.0","3.2405477E7","0.87","1.1123256E7","1.71901404E9","0.65"
"2022/06/10","274760.0","3.2405477E7","0.85","1.1046696E7","1.781297885E9","0.62"
"2022/06/09","275287.0","3.2435166E7","0.85","1.1019041E7","1.788694206E9","0.62"
"2022/06/08","281166.0","3.2435166E7","0.87","1.1263978E7","1.787550056E9","0.63"
"2022/06/07","279928.0","3.2435166E7","0.86","1.1322307E7","1.787307752E9","0.63"
"2022/06/03","281055.0","3.2435135E7","0.87","1.1651684E7","1.818050042E9","0.64"
"2022/06/02","278326.0","3.2435135E7","0.86","1.168372E7","1.80973654E9","0.65"
"2022/05/31","282474.0","3.2435135E7","0.87","1.2087995E7","1.82955764E9","0.66"
"2022/05/30","284222.0","3.2435134E7","0.88","1.202024E7","1.818267472E9","0.66"
"2022/05/27","284730.0","3.2435134E7","0.88","1.2017905E7","1.79592625E9","0.67"
"2022/05/26","291210.0","3.2435134E7","0.90","1.2100036E7","1.778033119E9","0.68"
"2022/05/25","295123.0","3.2435134E7","0.91","1.2334724E7","1.781457275E9","0.69"
"2022/05/24","295017.0","3.2435134E7","0.91","1.2259593E7","1.773639723E9","0.69"
"2022/05/23","290836.0","3.2435134E7","0.90","1.2428347E7","1.802702685E9","0.69"
"2022/05/20","296156.0","3.2435134E7","0.91","1.2444317E7","1.796371713E9","0.69"
"2022/05/19","298055.0","3.243493E7","0.92","1.2431237E7","1.762095924E9","0.71"
"2022/05/18","291451.0","3.243493E7","0.90","1.2369441E7","1.785066967E9","0.69"
"2022/05/17","289961.0","3.243493E7","0.89","1.2368467E7","1.781495288E9","0.69"
"2022/05/16","284503.0","3.2434851E7","0.88","1.2232506E7","1.764017013E9","0.69"
"2022/05/13","289595.0","3.2444184E7","0.89","1.2310478E7","1.771987159E9","0.69"
"2022/05/12","290919.0","3.2443114E7","0.90","1.2264692E7","1.733833628E9","0.71"
"2022/05/11","289288.0","3.2443114E7","0.89","1.2495792E7","1.761493744E9","0.71"
"2022/05/10","285203.0","3.2443114E7","0.88","1.243234E7","1.764078536E9","0.70"
"2022/05/09","281648.0","3.2443072E7","0.87","1.2368431E7","1.773484903E9","0.70"
"2022/05/06","273077.0","3.2446512E7","0.84","1.2430415E7","1.793525654E9","0.69"
"2022/05/04","272522.0","3.2446512E7","0.84","1.2351605E7","1.816811993E9","0.68"
"2022/05/03","271097.0","3.2446512E7","0.84","1.2370278E7","1.817435062E9","0.68"
"2022/05/02","269818.0","3.2446512E7","0.83","1.2330649E7","1.82283614E9","0.68"
"2022/04/29","269728.0","3.2446512E7","0.83","1.2371955E7","1.829299899E9","0.68"
"2022/04/28","269698.0","3.2446506E7","0.83","1.2346344E7","1.809956634E9","0.68"
"2022/04/27","268471.0","3.2422162E7","0.83","1.2171929E7","1.783204756E9","0.68"
"2022/04/26","264937.0","3.2422143E7","0.82","1.2291063E7","1.803372292E9","0.68"
"2022/04/25","266152.0","3.2422143E7","0.82","1.221698E7","1.795867516E9","0.68"
"2022/04/22","262023.0","3.2422025E7","0.81","1.2277849E7","1.827433108E9","0.67"
"2022/04/21","256938.0","3.2419292E7","0.79","1.2106857E7","1.844970562E9","0.66"
"2022/04/20","256322.0","3.2419292E7","0.79","1.2000825E7","1.837724929E9","0.65"
"2022/04/19","263946.0","3.2403603E7","0.81","1.222804E7","1.838442841E9","0.67"
"2022/04/18","265765.0","3.2403603E7","0.82","1.2157615E7","1.820426361E9","0.67"
"2022/04/15","266625.0","3.2402566E7","0.82","1.2202064E7","1.822874443E9","0.67"
"2022/04/14","264837.0","3.2402488E7","0.82","1.2171405E7","1.839248844E9","0.66"
"2022/04/13","255168.0","3.2402488E7","0.79","1.150827E7","1.840860236E9","0.63"
"2022/04/12","266584.0","3.2402488E7","0.82","1.1912914E7","1.804155241E9","0.66"
"2022/04/11","264621.0","3.2402488E7","0.82","1.1966608E7","1.822990829E9","0.66"
"2022/04/08","261961.0","3.2373411E7","0.81","1.1974736E7","1.827801408E9","0.66"
"2022/04/07","258956.0","3.2373264E7","0.80","1.1849702E7","1.825372577E9","0.65"
"2022/04/06","251867.0","3.2373264E7","0.78","1.1844315E7","1.853471585E9","0.64"
"2022/04/05","245393.0","3.2395204E7","0.76","1.1739525E7","1.871692833E9","0.63"
"2022/04/04","243756.0","3.2394426E7","0.75","1.1705431E7","1.870975556E9","0.63"
"2022/04/01","243647.0","3.238387E7","0.75","1.1644008E7","1.859039329E9","0.63"
"2022/03/31","240060.0","3.238387E7","0.74","1.15157E7","1.873138068E9","0.61"
